"id","platform","original_link","post_time","title","view_count","like_count","price","images","description","category","status","seller_location","expiration_date","market_price","capacity","parking","options","check_in_out_time","shipping_fee","transaction_location","transaction_method"
"","번개장터","https://www.번개장터.com/items/","2024-09-19 18:49:54.760476","오키나와 나하 숙박(호텔) 팝니다","13","0","90000","https://media.bunjang.co.kr/product/290002260_{cnt}_1726702177_w{res}.jpg","1박이구용
금-토입니다 ㅠ 10월11-12일입니다

12만원주고 예약했는데 9만원에 팝니다","여행/숙박/렌트","SELLING","N/A","","","","","","","","",""
"","번개장터","https://www.번개장터.com/items/","2024-09-16 18:49:54.760482","부산 호텔양도(남포)","35","1","40000","https://media.bunjang.co.kr/product/289627724_{cnt}_1726460418_w{res}.jpg","넘버25일자 오류로 16일 1박호텔양도합니다","여행/숙박/렌트","SELLING","N/A","","","","","","","","",""
"","번개장터","https://www.번개장터.com/items/","2024-09-21 18:49:54.760488","불꽃축제 콘래드호텔 리버뷰 양도","109","2","3400000","https://media.bunjang.co.kr/product/290130803_{cnt}_1726759923_w{res}.jpg","그랜드 이그제큐티브 스위트 리버뷰(한강뷰) 1박 양도합니다.

남자친구랑 가려고 예약했던건데 헤어졌어요.


리버뷰는 이미 다 매진된 상태입니다. 

금액이 커서 직거래되도록 희망하긴한데 아니어도 괜찮습니다. (서울 방배)","여행/숙박/렌트","SELLING","서초구 방배2동","","","","","","","","",""
"","번개장터","https://www.번개장터.com/items/","2024-09-19 18:49:54.760494","제네시스 프리빌리지 호텔 멤버십 숙박권","58","2","370000","https://media.bunjang.co.kr/product/290055552_{cnt}_1726731109_w{res}.jpg","제네시스 프리빌리지 서비스 양도합니다.
구매후 환불 안되오니 신중하게 구매해주세요.
​
구매자분 정보도 필요합니다.
1.호텔 리스트 중 하나 선택
2.한글성함
3.영문성함(성/이름)
4.이메일 주소
5.거주지 주소
6.휴대폰 번호
7.생년월일
8.성별(남/여)
​
입금 후 제가 구매자분 정보로 숙박권 신청해드리면 구매자분 번호로 문자가 전송되고, 호텔 멤버십 숙박 카드가 구매자분 댁으로 배송됩니다.
유효기간은 카드 발급 후 1년 안에 사용하시면 됩니다.","여행/숙박/렌트","RESERVED","N/A","","","","","","","","",""
"","번개장터","https://www.번개장터.com/items/","2024-09-21 18:49:54.760501","대천 데이원스테이호텔(오늘) 숙박","32","0","90000","https://media.bunjang.co.kr/product/290308515_{cnt}_1726881877_w{res}.jpg","오늘 당일 대천 데이원스테이호텔 1박 2일 숙박 양도해요","여행/숙박/렌트","SELLING","N/A","","","","","","","","",""
"","번개장터","https://www.번개장터.com/items/","2024-09-17 18:49:54.760507","여기어때 호텔 양도합니다","40","0","500","https://media.bunjang.co.kr/product/289737310_{cnt}_1726530324_w{res}.jpg","80퍼로 판매중이니 대리인 구합니다","여행/숙박/렌트","SELLING","N/A","","","","","","","","",""
"","번개장터","https://www.번개장터.com/items/","2024-09-12 18:49:54.760513","홍콩 호텔 양도","88","1","50000","https://media.bunjang.co.kr/product/282355598_{cnt}_1722588457_w{res}.jpg","일정 변경으로 호텔 양도합니다.
2박3일 9/15-18
문의 주세요!

호텔링크:
[트립닷컴] 추천 호텔 - Yangzhou Hotel
홍콩 호텔, 트립닷컴에서 지금 확인하세요! - Yangzhou Hotel (https://www.trip.com/w/oJtfGnPvfV1)","여행/숙박/렌트","SELLING","N/A","","","","","","","","",""
"","번개장터","https://www.번개장터.com/items/","2024-09-20 18:49:54.760519","광안리 캡슐호텔 양도 9.20~21","29","0","20000","https://media.bunjang.co.kr/product/289112863_{cnt}_1726752847_w{res}.jpg","48886원에 예약했는데 사정이 생겨서 못가게됐아요ㅠㅠㅠㅜ 1인 캡슐이고 광안리호텔1 이라고 검색하셔서 보시면돼요 예약자이름변경, 링크전송, 전화번호 다 가능합니당","여행/숙박/렌트","SELLING","N/A","","","","","","","","",""
"","번개장터","https://www.번개장터.com/items/","2024-09-12 18:49:54.760541","특급 호텔 예약","22","0","500","https://media.bunjang.co.kr/product/286503239_{cnt}_1724752054_w{res}.jpg","시그니엘 서울, 부산
엘시티
하얏트
인터컨티넨탈
등등 호텔 예약 사이트들보다 예약 저렴하게 해드립니다.","여행/숙박/렌트","SELLING","N/A","","","","","","","","",""
"","번개장터","https://www.번개장터.com/items/","2024-09-23 18:49:54.760548","2024년 여의도 불꽃놀이 노보텔 호텔 숙박권","47","0","1200000","https://media.bunjang.co.kr/product/290654740_{cnt}_1727057209_w{res}.jpg","20주년 기념 불꽃축제로 여태 해왔던 불꽃축제보다 화려할 것으로 예상합니다. 

​

​10/5~6 1박2일 숙박일정

​

불꽃축제 최고의 뷰 확정 패키지입니다.

​

한강뷰 불꽃축제 패키지로 최고의 순간을 가족,연인과불꽃축제 객실 1박과 푸드익스체인지 TOGO BOX 패키지

​

하기 운영시간 중 노보텔 2층에 위치한 푸드익스체인지 방문해주시고 예약자명 말씀해주시면 확인 후 TOGO BOX 준비해드리고 있으며, 해당 패키지에 경우  직접 원하시는 음식을 담아 객실에서 취식하시는 패키지 

운영시간 마감 20분전까지 방문해주셔야 가능합니다

​

운영시간) 석식 1부 17:00-19:00 (18:40 TOGO BOX 마감)

석식 2부 19:30-21:30 (21:10 TOGO BOX 마감)​

​

한 해에 단 한 번뿐인 세계 불꽃축제를 감상하면서 프로포즈를 계획하면, 그 어느 때보다 감동적인 순간을 만들 수 있을 것입니다. 

​

한강의 아름다운 풍경과 화려한 불꽃쇼가 어","여행/숙박/렌트","SELLING","용산구 한강로동","","","","","","","","",""
