platform,original_link,post_time,title,view_count,like_count,price,images,description,category,status,seller_location,expiration_date,market_price,capacity,parking,options,check_in_out_time,shipping_fee,transaction_location,transaction_method
번개장터,https://bunjang.co.kr/products/291451908,2024-09-28 16:38:37,글래드 여의도호텔 주중 숙박권+디너 뷔페 2인 식사권,58,1,259000,https://media.bunjang.co.kr/product/291451908_{cnt}_1727493243_w{res}.jpg,"GLAD HOTELS (여의도/마포 지점)
글래드 호텔 하우스 객실 킹베드 2인
(일~목) 주중 숙박권 입니다.

그리츠 레스토랑 디너 뷔페는 여의도 지점만 
사용가능합니다. 

티켓 뒷면에 안내된 전화로 예약하고 
체크인 시 지류티켓 제출하시면 됩니다.

사용기한은 2024년 12월 31일까지 입니다.


택배거래 하시면 제가 택배비 부담하고 드립니다.",여행/숙박/렌트,판매중,강남구 역삼1동,,,,,,,,,
번개장터,https://bunjang.co.kr/products/218996315,2024-10-01 16:38:37,페어몬트 호텔 마리포사 M29칵테일 이용권/콜키지&발렛이용권,1035,21,35000,https://media.bunjang.co.kr/product/218996315_{cnt}_1725004684_w{res}.jpg,"유효기간 : 24년 12월 30일(공휴일 이용불가-일요일가능, 불꽃축제일, 12/24,25 이용불가)

1. 마리포사 2인 주중 런치3코스 이용권 1장 10만원(2인) 
또는 에프터눈티 2인 이용권 1장 10만원(2인) 
- 2인 정상가 15만원
*2장(4인) 이상 거래시 발렛무료이용권 1장 드립니다!!
- 판매완료

2. M29 시그니처 칵테일 지류이용권
2잔 이용권 1장당 3.5만원(1잔당 1.7만원꼴)
- 칵테일 1잔 정상가 2.9만원~3.1만원(약42%할인)

3. 콜키지(CORKAGE) 무료 이용권 - 1장당 1만원
스펙트럼 및 마리포사에서 이용 가능

4. 발렛 무료이용권 - 1장당 1만원


직거래 명동 주변",외식,판매중,중구 회현동,,,,,,,,,
번개장터,https://bunjang.co.kr/products/288938831,2024-09-28 16:38:37,페어몬트 서울 호텔 조식 포함,82,1,390000,https://media.bunjang.co.kr/product/288938831_{cnt}_1727320868_w{res}.jpg,"페어몬트 서울 호텔

페어몬트 룸 조식 2인 포함
일~금요일 39
토요일 55만원

시그니처 스위트 조식2인 포함
일~금요일 49
토요일 65만원",여행/숙박/렌트,판매중,N/A,,,,,,,,,
번개장터,https://bunjang.co.kr/products/283371898,2024-10-04 09:38:37,해비치호텔 숙박권 및 해비치cc 4인그린피 이용 골프티켓 판매합니다,192,5,450000,https://media.bunjang.co.kr/product/283371898_{cnt}_1722989721_w{res}.jpg,"제주 해비치 호텔 수페리어룸 숙박권 판매합니다.
​
호텔 이용 시 섬모라 조식 2인과 식음업장 6만원까지 포함해서 사용 가능합니다.
​
평일, 주말, 성수기 구분 없이 연말까지 사용 가능합니다.
해비치 컨트리클럽 4인 그린피로 호환 이용도 가능합니다.
​
요즘 그린피가 정말 많이 올랐는데 저렴한 비용으로 라운딩 가세요.
​
사용기간은 12월 말까지입니다",여행/숙박/렌트,판매중,N/A,,,,,,,,,
번개장터,https://bunjang.co.kr/products/220435201,2024-10-04 16:38:37,호텔 타셀의 돼지들 오은 시집 민음의시 민음사 책 도서 추천,4,0,1111,https://media.bunjang.co.kr/product/220435201_{cnt}_1683232454_w{res}.jpg,"오은 시집 <호텔 타셀의 돼지들> 판매합니다.
밑줄, 내지 접힘 등 없어요. :-)

일반택배 +4,000원
CU끼리 +2,000원",시/소설,판매완료,광산구 도산동,,,,,,,,,
번개장터,https://bunjang.co.kr/products/290002260,2024-09-19 16:38:37,오키나와 나하 숙박(호텔) 팝니다,14,0,90000,https://media.bunjang.co.kr/product/290002260_{cnt}_1726702177_w{res}.jpg,"1박이구용
금-토입니다 ㅠ 10월11-12일입니다

12만원주고 예약했는데 9만원에 팝니다",여행/숙박/렌트,판매중,N/A,,,,,,,,,
번개장터,https://bunjang.co.kr/products/104432490,2024-10-04 16:38:37,싱가포르 원패러 호텔 양도합니다,67,0,0,https://media.bunjang.co.kr/product/104432490_{cnt}_1561821581_w{res}.jpg,"싱가폴 원패러호텔 양도합니다.

취소불가 상품이라ㅠㅠ

8/20-24

총 4박입니다! 94만원에 결제했고요 90만원에 양도합니다 쿨거시 에눌가능해요~

조식은 포함이구요 어반덴 패밀리 싱글베드2개 소파베드1개입니다

패러파크역에서 매우 가깝구요, 싱가폴 쇼핑으로 빠질수 없는 무스타파와도 매우 가깝습니다.

일리커피 캡슐, TWG티, 미니바(음료, 과자등) 모두 무료이고 가성비 좋은 호텔로 요즘 핫한 호텔입니다.

연락부탁드립니다^^",여행/숙박/렌트,판매완료,서초구 서초2동,,,,,,,,,
번개장터,https://bunjang.co.kr/products/282964543,2024-10-04 16:38:37,야놀83%,8,0,40000,https://media.bunjang.co.kr/product/282964543_{cnt}_1722755602_w{res}.jpg,"✔️본인인증 상점✔️
3만원~10만원미만 가능
실제금액에서 ❗️83프로만❗️ 입금하면 됩니다
입금확인후 예약진행
예약완료후 예약정보 전달드립니다
준비된 한도 소진시 판매종료

💡문자 & 톡 보낼때
- 숙소이름 or 링크 
-예약날짜 
-객실타입 
-가격 
-인원 
-예약자성함 
-전화번호 
-도보차량이용유무
🍯예약페이지 들어가서 캡쳐로 보내주시면 더더 간편합니다
 
🚫예약완료시 취소절대불가🚫
숙소자체에서 무료취소 되있어도 제가 해드린거라 취소가 절대 불가하니 신중히 주문부탁드립니다
취소가 불가피할시 타인에서 양도하는 방법으로 해결하셔야합니다",여행/숙박/렌트,판매완료,N/A,,,,,,,,,
번개장터,https://bunjang.co.kr/products/291771158,2024-09-30 16:38:37,나인트리 프리미어 판교 호텔 숙박양도,51,4,120000,https://media.bunjang.co.kr/product/291771158_{cnt}_1727659510_w{res}.jpg,"현재 여기어때 16.5

제가 전화로 호텔에 예약해드리고 예약번호 드리면 확인하시고 입금주셔도 됩니다

원하는 날짜 (공휴일 토요일 제외) 가능하고
스탠다드 트윈 or 더블 중 선택 가능합니다


3장까지 있으니 원하시는 만큼 구매가능합니다",여행/숙박/렌트,판매중,N/A,,,,,,,,,
번개장터,https://bunjang.co.kr/products/274055480,2024-10-03 16:38:37,롯데호텔 서울 숙박권 판매(조식포함),644,10,490000,https://media.bunjang.co.kr/product/274055480_{cnt}_1726392434_w{res}.jpg,"롯데호텔 서울 숙박권 판매합니다.

이그제큐티브 타워
디럭스룸2인1박+라세느 조식2인+와인&과일커티시+
피트니스클럽2인 실내수영장 무료

12/24,12/31 제외 예약가능 합니다

쿨거래 원합니다",여행/숙박/렌트,판매중,N/A,,,,,,,,,
